module,date,start
Module 1-1,2/1/21,TRUE
Module 1-2,2/3/21,FALSE
Module 1-3,2/8/21,FALSE
Module 1-4,2/10/21,FALSE
Module 2-5,2/15/21,TRUE
Module 2-6,2/22/21,FALSE
Module 2-7,2/24/21,FALSE
Module 2-8,3/1/21,FALSE
Module 3-9,3/3/21,TRUE
Module 3-10,3/8/21,FALSE
Module 4-11,3/15/21,TRUE
Module 4-12,3/17/21,FALSE
Module 4-13,3/22/21,FALSE
Module 4-14,3/24/21,FALSE
Module 5-15,3/29/21,TRUE
Module 5-16,3/31/21,FALSE
Module 6-17,4/5/21,TRUE
Module 6-18,4/7/21,FALSE
Module 6-19,4/12/21,FALSE
Module 6-20,4/14/21,FALSE
Module 7-21,4/19/21,TRUE
Module 7-22,4/21/21,FALSE
Module 8-23,4/26/21,TRUE
Module 8-24,4/28/21,FALSE
Module 9-25,5/3/21,TRUE
Module 9-26,5/5/21,FALSE
